k,season,ot,brier_in,brier_d_in,score_mse_in,games_off_in,games_off_pct_in,brier_out,brier_d_out,score_mse_out,games_off_out,games_off_pct_out
40.0,0.0,1.0,0.17671851158240753,0.17710108738437316,22.71172013383192,251.0,0.049399724463688253,0.20212814405953675,0.202273835745752,27.477186910006292,58.0,0.03650094398993078
40.0,0.0,0.9,0.17676576143833747,0.17716308305451683,22.753050580594373,255.0,0.05018697106868727,0.20214481455395183,0.20238396790434235,27.460824417872875,60.0,0.03775959723096287
40.0,0.0,0.8,0.17682138232170716,0.17719555697697303,22.79359378075182,257.0,0.050580594371186775,0.20216874434765436,0.20256017935808682,27.46208307111391,61.0,0.03838892385147892
40.0,0.0,0.7,0.17688546360840643,0.17714044971462312,22.774699862231845,255.0,0.05018697106868727,0.2022000040295638,0.20259793895531783,27.513687853996224,63.0,0.039647577092511016
40.0,0.0,0.6,0.17695809488297512,0.1772329511907105,22.879797283999213,259.0,0.05097421767368628,0.20223866529687745,0.20260737885462551,27.502359974826934,67.0,0.04216488357457521
40.0,0.0,0.5,0.1770393658761558,0.1773392294823853,22.967181657154104,259.0,0.05097421767368628,0.20228480104626512,0.20237138137193203,27.57787916928886,61.0,0.03838892385147892
40.0,0.05,1.0,0.1751997891453721,0.17568994784491243,22.39485337531982,181.0,0.03562290887620547,0.20207529661340942,0.20245948709880432,27.274543738200126,60.0,0.03775959723096287
40.0,0.05,0.9,0.1752275275028327,0.17563090434953746,22.412172800629797,186.0,0.03660696713245424,0.2020875138392934,0.20246578036500942,27.28209565764632,55.0,0.034612964128382634
40.0,0.05,0.8,0.1752631905405266,0.17571848553434363,22.451535130879748,191.0,0.037591025388703014,0.20210682204524127,0.20231788860918817,27.27202643171806,54.0,0.033983637507866586
40.0,0.05,0.7,0.1753068598009978,0.17575686380633734,22.501918913599685,193.0,0.03798464869120252,0.20213328815818118,0.2026325519194462,27.31230333543109,56.0,0.03524229074889868
40.0,0.05,0.6,0.17535861696869823,0.17575292757331235,22.57946270419209,189.0,0.0371974020862035,0.20216697999067962,0.20245004719949655,27.297199496538703,57.0,0.03587161736941473
40.0,0.05,0.5,0.17541854382249913,0.17569290001968116,22.626303877189528,187.0,0.03680377878370399,0.20220796632147003,0.2027552706104468,27.373977344241663,52.0,0.032724984266834484
40.0,0.1,1.0,0.17462410465810627,0.17500897953158828,22.227169848455027,128.0,0.02519189135996851,0.20211282814176718,0.20186162680931405,27.16881686595343,61.0,0.03838892385147892
40.0,0.1,0.9,0.17463870749018312,0.17495682444400706,22.238584924227514,143.0,0.02814406612871482,0.20212069666040322,0.20209447765890498,27.180144745122718,62.0,0.03901825047199497
40.0,0.1,0.8,0.1746608803429458,0.17486038673489468,22.227957095060027,138.0,0.02716000787246605,0.20213548897810146,0.2022769823788546,27.255663939584643,58.0,0.03650094398993078
40.0,0.1,0.7,0.17469069763698586,0.17488006790001967,22.28936233024995,140.0,0.027553631174965558,0.20215726866982628,0.20243116740088113,27.287130270610447,59.0,0.037130270610446825
40.0,0.1,0.6,0.1747282337352737,0.1749332070458571,22.384225546152333,142.0,0.027947254477465065,0.20218610000542822,0.2025570327249843,27.29594084329767,55.0,0.034612964128382634
40.0,0.1,0.5,0.1747735628899763,0.17496863314308206,22.427524109427278,136.0,0.026766384569966543,0.20222204801953111,0.20258220578980493,27.321113908118313,50.0,0.03146633102580239
40.0,0.15,1.0,0.1746912555366832,0.17500897953158828,22.180722298760088,110.0,0.02164928163747294,0.20223986277955983,0.2023556482064191,27.21161107614852,53.0,0.03335431088735054
40.0,0.15,0.9,0.17469685588749873,0.17474820409368233,22.19449911434757,102.0,0.020074788427474906,0.2022435088710365,0.20246578036500948,27.18643801132788,60.0,0.03775959723096287
40.0,0.15,0.8,0.17470973407923915,0.17487809978350718,22.207882306632552,103.0,0.02027160007872466,0.20225391360918077,0.20245634046570174,27.238042794210195,62.0,0.03901825047199497
40.0,0.15,0.7,0.17472995883840026,0.17491844617201335,22.196467230860065,103.0,0.02027160007872466,0.20227113748929262,0.20236508810572684,27.254405286343612,63.0,0.039647577092511016
40.0,0.15,0.6,0.17475759865545057,0.175043421570557,22.248425506790003,103.0,0.02027160007872466,0.20229524153923265,0.2024846601636249,27.27076777847703,61.0,0.03838892385147892
40.0,0.15,0.5,0.17479272172652047,0.17501685199763828,22.285426097224956,115.0,0.022633339893721707,0.20232628737905198,0.2024815135305223,27.32363121460038,57.0,0.03587161736941473
40.0,0.2,1.0,0.17520912411613657,0.17542622023223775,22.228744341665028,108.0,0.02125565833497343,0.20245520219917634,0.2029598017621146,27.21035242290749,51.0,0.032095657646318436
40.0,0.2,0.9,0.17520844996976798,0.17549805648494393,22.264170438889984,103.0,0.02027160007872466,0.20245477356118213,0.2028622561359346,27.12098804279421,66.0,0.04153555695405916
40.0,0.2,0.8,0.17521479935796339,0.1757883536705373,22.238978547530014,98.0,0.01928754182247589,0.20246094128057057,0.2026356985525488,27.1990245437382,69.0,0.0434235368156073
40.0,0.2,0.7,0.17522823626309542,0.17566731450501868,22.270862035032472,91.0,0.017909860263727612,0.20247376300821274,0.20260737885462557,27.266991818753933,70.0,0.04405286343612335
40.0,0.2,0.6,0.17524882428198427,0.1754488535721315,22.31455422160992,87.0,0.017122613658728598,0.20249329679010997,0.20256961925739458,27.225456261799874,69.0,0.0434235368156073
40.0,0.2,0.5,0.17527662656523788,0.17550494489273766,22.368874237354852,81.0,0.015941743751230072,0.20251960111741626,0.20245004719949655,27.264474512271867,69.0,0.0434235368156073
